Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_Y,RMSE_Z
ONRJ,VERAO,3,2020-01-01,0.09783545185208017,0.10269405753383892,0.04216798485221561
ONRJ,VERAO,4,2020-01-01,0.08262658463032178,0.11179916590943723,0.045672867096372784
ONRJ,VERAO,5,2020-01-08,0.09655146482101297,0.10144882466474939,0.05610528131356343
ONRJ,VERAO,6,2020-01-08,0.1052976047408559,0.09110951235385797,0.05642342042838371
ONRJ,VERAO,7,2020-01-08,0.0860638692952315,0.1041559676838281,0.047891798520508386
ONRJ,VERAO,8,2020-01-08,0.10521457811782467,0.10247890302900926,0.06572886107373889
ONRJ,VERAO,9,2020-01-08,0.09709145934928357,0.09251760044702888,0.05299573555413796
ONRJ,VERAO,10,2020-01-08,0.09020665380892628,0.10153854885864035,0.05034925554836164
ONRJ,VERAO,11,2020-01-08,0.09687761958294448,0.11146699150673765,0.05223290379634782
ONRJ,VERAO,12,2020-01-15,0.10500916479522279,0.1208025808845995,0.05524115187679841
ONRJ,VERAO,13,2020-01-15,0.09736484215042239,0.10807739237335057,0.06350167411644492
ONRJ,VERAO,14,2020-01-15,0.09160318027575567,0.1181862976528426,0.06991250201116231
ONRJ,VERAO,15,2020-01-15,0.07815102398049015,0.10257815522240281,0.051167813151318166
ONRJ,VERAO,16,2020-01-15,0.07963541495851953,0.10257894604628763,0.05418259583643332
ONRJ,VERAO,17,2020-01-15,0.1024552704634385,0.1114660729540113,0.05888385614199557
ONRJ,VERAO,18,2020-01-15,0.09080820499039681,0.09735122563638403,0.05293262174358554
ONRJ,VERAO,19,2020-01-22,0.08441937490825416,0.09361965813256716,0.050275318567286426
ONRJ,VERAO,20,2020-01-22,0.08830575767290111,0.0946825846702341,0.058046243506083825
ONRJ,VERAO,21,2020-01-22,0.0810319166041888,0.07949910694885669,0.051002314817482575
ONRJ,VERAO,22,2020-01-22,0.07684783834541399,0.0948470915161356,0.05985750501507329
ONRJ,VERAO,23,2020-01-22,0.07976913635969499,0.0936177571390745,0.0568826711781633
ONRJ,VERAO,24,2020-01-22,0.07792947128329407,0.09462838374385953,0.05183125174552779
ONRJ,VERAO,25,2020-01-22,0.08013604238676822,0.09794429640987154,0.05379669171909533
ONRJ,VERAO,26,2020-01-29,0.08650918996572213,0.10352424039599668,0.06118890342093497
ONRJ,VERAO,27,2020-01-29,0.08070264298423514,0.08657502218776553,0.05832368933284367
ONRJ,VERAO,28,2020-01-29,0.07763772113976235,0.10023048442527771,0.06011377349829864
ONRJ,VERAO,29,2020-01-29,0.08443712655764261,0.08953824773045549,0.058312477096279694
ONRJ,VERAO,30,2020-01-29,0.0922513543296249,0.09164843144893006,0.0526315870596393
ONRJ,VERAO,31,2020-01-29,0.08694688976933661,0.09804586938498616,0.05647686151622988
SSA1,VERAO,1,2020-01-01,0.11261822169173455,0.09612696700918438,0.029792133551869233
SSA1,VERAO,2,2020-01-01,0.1103980866783861,0.10493661034730183,0.030830787706708385
SSA1,VERAO,3,2020-01-01,0.11125314812732255,0.10476586090671046,0.028241902410360266
SSA1,VERAO,4,2020-01-01,0.099696304851144,0.09870716527058407,0.027731385759684864
SSA1,VERAO,5,2020-01-08,0.11266117686443095,0.09794881899006239,0.02870968975611393
SSA1,VERAO,6,2020-01-08,0.09294948340529147,0.09300827194955741,0.02470240126834812
SSA1,VERAO,7,2020-01-08,0.09875077014551994,0.09377871763325478,0.027486040094818184
SSA1,VERAO,8,2020-01-08,0.10450586314131992,0.09109985145362377,0.032323426111513516
SSA1,VERAO,9,2020-01-08,0.09561122760532874,0.09030596620672629,0.024558861079847085
SSA1,VERAO,10,2020-01-08,0.10651441003433408,0.09486785777400011,0.02663151877863806
SSA1,VERAO,11,2020-01-08,0.09080086913218781,0.09466102718082611,0.036829259138580754
SSA1,VERAO,12,2020-01-15,0.1018852392368577,0.09394300691205697,0.03395068790488396
SSA1,VERAO,13,2020-01-15,0.1086879157420705,0.10375188682421307,0.046301744527140004
SSA1,VERAO,14,2020-01-15,0.09423185194090737,0.09308193470684493,0.04173603443870113
SSA1,VERAO,15,2020-01-15,0.10833252793984606,0.09828659844943968,0.0380184967220742
SSA1,VERAO,16,2020-01-15,0.10637639857164939,0.09882179956312237,0.037352857895977136
SSA1,VERAO,17,2020-01-15,0.1049305569340315,0.0837047495343814,0.03516598157817415
SSA1,VERAO,18,2020-01-15,0.10300296255007599,0.08698265685652756,0.03516568561593359
SSA1,VERAO,19,2020-01-22,0.10100567303606856,0.07740757383411945,0.02895046510386443
SSA1,VERAO,20,2020-01-22,0.10222640513942312,0.09697936361459329,0.04826737440230602
SSA1,VERAO,21,2020-01-22,0.08144659605643037,0.0732204361104531,0.02852081600872924
SSA1,VERAO,22,2020-01-22,0.10286431437798184,0.08565881156656752,0.034010315340402525
SSA1,VERAO,23,2020-01-22,0.09973684278006989,0.07985112519256676,0.033062822233719286
