Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,NAUS,naus020_delays.txt,20,2020-01-20,January
VERAO,NAUS,naus011_delays.txt,11,2020-01-11,January
VERAO,NAUS,naus024_delays.txt,24,2020-01-24,January
VERAO,NAUS,naus003_delays.txt,3,2020-01-03,January
VERAO,NAUS,naus029_delays.txt,29,2020-01-29,January
VERAO,NAUS,naus002_delays.txt,2,2020-01-02,January
VERAO,NAUS,naus005_delays.txt,5,2020-01-05,January
VERAO,NAUS,naus018_delays.txt,18,2020-01-18,January
VERAO,NAUS,naus014_delays.txt,14,2020-01-14,January
VERAO,NAUS,naus031_delays.txt,31,2020-01-31,January
VERAO,NAUS,naus026_delays.txt,26,2020-01-26,January
VERAO,NAUS,naus021_delays.txt,21,2020-01-21,January
VERAO,NAUS,naus025_delays.txt,25,2020-01-25,January
VERAO,NAUS,naus013_delays.txt,13,2020-01-13,January
VERAO,NAUS,naus017_delays.txt,17,2020-01-17,January
VERAO,NAUS,naus028_delays.txt,28,2020-01-28,January
VERAO,NAUS,naus022_delays.txt,22,2020-01-22,January
VERAO,NAUS,naus009_delays.txt,9,2020-01-09,January
VERAO,NAUS,naus006_delays.txt,6,2020-01-06,January
VERAO,NAUS,naus019_delays.txt,19,2020-01-19,January
VERAO,NAUS,naus023_delays.txt,23,2020-01-23,January
VERAO,NAUS,naus001_delays.txt,1,2020-01-01,January
VERAO,NAUS,naus030_delays.txt,30,2020-01-30,January
VERAO,NAUS,naus027_delays.txt,27,2020-01-27,January
VERAO,NAUS,naus015_delays.txt,15,2020-01-15,January
VERAO,NAUS,naus004_delays.txt,4,2020-01-04,January
VERAO,NAUS,naus008_delays.txt,8,2020-01-08,January
VERAO,NAUS,naus016_delays.txt,16,2020-01-16,January
VERAO,POAL,poal004_delays.txt,4,2020-01-04,January
VERAO,POAL,poal029_delays.txt,29,2020-01-29,January
VERAO,POAL,poal014_delays.txt,14,2020-01-14,January
VERAO,POAL,poal005_delays.txt,5,2020-01-05,January
VERAO,POAL,poal013_delays.txt,13,2020-01-13,January
VERAO,POAL,poal008_delays.txt,8,2020-01-08,January
VERAO,POAL,poal016_delays.txt,16,2020-01-16,January
VERAO,POAL,poal011_delays.txt,11,2020-01-11,January
VERAO,POAL,poal028_delays.txt,28,2020-01-28,January
VERAO,POAL,poal006_delays.txt,6,2020-01-06,January
VERAO,POAL,poal020_delays.txt,20,2020-01-20,January
VERAO,POAL,poal022_delays.txt,22,2020-01-22,January
VERAO,POAL,poal007_delays.txt,7,2020-01-07,January
VERAO,POAL,poal002_delays.txt,2,2020-01-02,January
VERAO,POAL,poal031_delays.txt,31,2020-01-31,January
VERAO,POAL,poal019_delays.txt,19,2020-01-19,January
VERAO,POAL,poal010_delays.txt,10,2020-01-10,January
VERAO,POAL,poal015_delays.txt,15,2020-01-15,January
VERAO,POAL,poal009_delays.txt,9,2020-01-09,January
VERAO,POAL,poal027_delays.txt,27,2020-01-27,January
VERAO,POAL,poal017_delays.txt,17,2020-01-17,January
VERAO,POAL,poal024_delays.txt,24,2020-01-24,January
VERAO,POAL,poal026_delays.txt,26,2020-01-26,January
VERAO,POAL,poal001_delays.txt,1,2020-01-01,January
VERAO,POAL,poal018_delays.txt,18,2020-01-18,January
VERAO,POAL,poal012_delays.txt,12,2020-01-12,January
VERAO,POAL,poal021_delays.txt,21,2020-01-21,January
VERAO,POAL,poal003_delays.txt,3,2020-01-03,January
VERAO,POAL,poal025_delays.txt,25,2020-01-25,January
VERAO,POAL,poal023_delays.txt,23,2020-01-23,January
VERAO,POAL,poal030_delays.txt,30,2020-01-30,January
VERAO,PERC,perc011_delays.txt,11,2020-01-11,January
VERAO,PERC,perc002_delays.txt,2,2020-01-02,January
VERAO,PERC,perc018_delays.txt,18,2020-01-18,January
VERAO,PERC,perc009_delays.txt,9,2020-01-09,January
VERAO,PERC,perc006_delays.txt,6,2020-01-06,January
