Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U
POLI,VERAO,18,2020-01-15,0.20846242979846358,0.5060617113481576,0.29604513255965115
POLI,VERAO,11,2020-01-08,0.1269879197124036,0.2497837620441895,0.11835015979713757
POLI,VERAO,13,2020-01-15,0.34481340659379794,0.43657747776136513,0.17180680033903578
POLI,VERAO,9,2020-01-08,0.2700158221263977,0.3002259415968909,0.18823068539585477
POLI,VERAO,24,2020-01-22,0.2496876532637382,0.32820566355877306,0.25088617494645105
POLI,VERAO,25,2020-01-22,0.1607863018465042,0.3235999683159411,0.15415353677942958
POLI,VERAO,19,2020-01-22,0.3238562398344893,0.6017299356255051,0.32802617247902977
POLI,VERAO,29,2020-01-29,0.15799349197941712,0.33095913052580533,0.3343963299137603
POLI,VERAO,16,2020-01-15,0.2698975716092352,0.3651850814427878,0.1757467009794697
POLI,VERAO,26,2020-01-29,0.2793495601159823,0.19128399842001204,0.15346792488270758
POLI,VERAO,12,2020-01-15,0.2585755169236938,0.2023047321905723,0.16652576019081847
POLI,VERAO,14,2020-01-15,0.35221138225379056,0.47172687959511084,0.36488025779628636
POLI,VERAO,2,2020-01-01,0.21923912222548883,0.3008859925485368,0.1427381148169634
POLI,VERAO,1,2020-01-01,0.11238960007727276,0.2864936384040724,0.13124099239920103
POLI,VERAO,7,2020-01-08,0.26207162368182874,0.27157420442762364,0.24496206745225876
BRAZ,INVERNO,183,2020-07-01,0.28777033843250605,0.19805307452073503,0.3437585436563803
BRAZ,INVERNO,210,2020-07-29,0.23563089422523245,0.35703601320058254,0.1239014298582881
BRAZ,INVERNO,185,2020-07-01,0.20282494319499855,0.23748396309095443,0.23868799406518412
BRAZ,INVERNO,196,2020-07-15,0.6133562936204653,0.37434266286942725,0.15483003966912798
BRAZ,INVERNO,203,2020-07-22,0.3999375819483448,0.38565313752520536,0.07067206523028169
BRAZ,INVERNO,187,2020-07-08,0.3087465253080093,0.4241891940780304,0.30667576747798475
BRAZ,INVERNO,202,2020-07-22,0.3123555546338681,0.37396146104741457,0.10340956463969567
BRAZ,INVERNO,193,2020-07-08,0.27630566931257694,0.31817328815484464,0.18269990530633134
BRAZ,INVERNO,206,2020-07-22,0.22950508711107911,0.16065609524643412,0.14000957352868337
BRAZ,INVERNO,207,2020-07-22,0.28913019291878245,0.23696255784380704,0.14865450045038314
BRAZ,INVERNO,204,2020-07-22,0.17732015508384147,0.15804774421713366,0.1956474241028346
